ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001636,HY191221,03/19/2015 04:30:00 PM,046XX S DAMEN AVE,0870,THEFT,POCKET-PICKING,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,009,12,61,06,1163738,1873806,2015,02/10/2018 03:50:01 PM,41.809352647,-87.674959547,"(41.809352647, -87.674959547)"
10001637,HY191324,03/19/2015 10:00:00 PM,006XX N CLARK ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1832,018,42,8,06,1175423,1904617,2015,02/10/2018 03:50:01 PM,41.893646656,-87.631177143,"(41.893646656, -87.631177143)"
10001641,HY190000,03/18/2015 09:45:00 PM,015XX W 68TH ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,false,0725,007,17,67,03,1167025,1859630,2015,02/10/2018 03:50:01 PM,41.770382256,-87.663308619,"(41.770382256, -87.663308619)"
10001642,HY191316,03/19/2015 09:30:00 PM,011XX N KARLOV AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,true,false,1111,011,37,23,18,1148843,1907272,2015,02/10/2018 03:50:01 PM,41.901487656,-87.728728004,"(41.901487656, -87.728728004)"
10001643,HY191331,03/20/2015 12:05:00 AM,023XX N WESTERN AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,SIDEWALK,true,false,1432,014,32,22,04B,1159970,1915691,2015,02/10/2018 03:50:01 PM,41.924367565,-87.687624413,"(41.924367565, -87.687624413)"
10001645,HY191323,03/20/2015 12:15:00 AM,076XX S STEWART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0623,006,17,69,08B,1174951,1854222,2015,02/10/2018 03:50:01 PM,41.755368956,-87.634416245,"(41.755368956, -87.634416245)"
10001646,HY191345,03/20/2015 01:30:00 AM,024XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,true,false,1414,014,35,22,14,1156416,1915876,2015,02/10/2018 03:50:01 PM,41.924947914,-87.700678316,"(41.924947914, -87.700678316)"
10001649,HY191313,03/19/2015 11:30:00 AM,071XX S GREENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0324,003,5,69,08B,1184789,1857798,2015,02/10/2018 03:50:01 PM,41.764956871,-87.598250887,"(41.764956871, -87.598250887)"
10001650,HY191327,03/20/2015 12:30:00 AM,043XX S ELLIS AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,0222,002,4,39,03,1183650,1876493,2015,02/10/2018 03:50:01 PM,41.816284171,-87.601842585,"(41.816284171, -87.601842585)"
10001651,HY191359,03/20/2015 01:30:00 AM,050XX W ERIE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,false,false,1532,015,28,25,11,1142634,1903851,2015,02/10/2018 03:50:01 PM,41.89221785,-87.751619787,"(41.89221785, -87.751619787)"
10001652,HY191292,03/19/2015 11:10:00 PM,061XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,APARTMENT,false,false,0313,003,20,42,08B,1179976,1864315,2015,02/10/2018 03:50:01 PM,41.782951693,-87.615692426,"(41.782951693, -87.615692426)"
10001653,HY191349,03/19/2015 11:30:00 PM,008XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,false,false,1833,018,42,8,26,1177338,1906181,2015,02/10/2018 03:50:01 PM,41.897895128,-87.624096605,"(41.897895128, -87.624096605)"
10001654,HY191353,03/20/2015 01:20:00 AM,070XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0322,003,6,69,08B,1178813,1858315,2015,02/10/2018 03:50:01 PM,41.76651363,-87.620138743,"(41.76651363, -87.620138743)"
10001655,HY191357,03/13/2015 09:00:00 PM,055XX S EVERETT AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0235,002,5,41,08B,1188983,1868707,2015,02/10/2018 03:50:01 PM,41.794792636,-87.582529785,"(41.794792636, -87.582529785)"
10001656,HY191366,03/20/2015 02:01:00 AM,053XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1522,015,29,25,08B,1140805,1897164,2015,02/10/2018 03:50:01 PM,41.873901709,-87.758501519,"(41.873901709, -87.758501519)"
10001657,HY190917,03/19/2015 05:20:00 PM,131XX S LANGLEY AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,0533,005,9,54,08B,1183244,1818421,2015,02/10/2018 03:50:01 PM,41.656937576,-87.605134262,"(41.656937576, -87.605134262)"
10001659,HY190148,03/19/2015 04:45:00 AM,085XX S CICERO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,false,true,0834,008,18,70,08B,1145925,1847569,2015,02/10/2018 03:50:01 PM,41.737709752,-87.740958098,"(41.737709752, -87.740958098)"
10001664,HY191380,03/20/2015 01:20:00 AM,015XX N DAMEN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,false,false,1424,014,1,24,11,1162794,1909952,2015,02/10/2018 03:50:01 PM,41.908560535,-87.677409143,"(41.908560535, -87.677409143)"
10001665,HY191341,03/20/2015 12:55:00 AM,046XX S GREENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,0222,002,4,39,03,1184366,1874370,2015,02/10/2018 03:50:01 PM,41.810441751,-87.599282698,"(41.810441751, -87.599282698)"
10001666,HY191373,03/20/2015 02:08:00 AM,048XX W CORTEZ ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1531,015,37,25,08B,1143955,1906546,2015,02/10/2018 03:50:01 PM,41.899588559,-87.746700581,"(41.899588559, -87.746700581)"
10001667,HY191342,03/20/2015 12:49:00 AM,047XX W HARRISON ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1131,011,24,25,18,1144860,1896931,2015,02/10/2018 03:50:01 PM,41.873186843,-87.743619176,"(41.873186843, -87.743619176)"
10001668,HY191374,03/20/2015 02:15:00 AM,066XX S PULASKI RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESTAURANT,false,false,0833,008,13,65,11,1150850,1860070,2015,02/10/2018 03:50:01 PM,41.771920176,-87.722588794,"(41.771920176, -87.722588794)"
10001669,HY191379,03/20/2015 01:20:00 AM,020XX W DIVISION ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1212,012,1,24,06,1162514,1907985,2015,02/10/2018 03:50:01 PM,41.903168813,-87.678492886,"(41.903168813, -87.678492886)"
10001670,HY191386,03/20/2015 01:00:00 AM,120XX S NORMAL AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0523,005,34,53,08A,1175134,1825122,2015,02/10/2018 03:50:01 PM,41.675510399,-87.634611049,"(41.675510399, -87.634611049)"
10001671,HY191364,03/20/2015 01:25:00 AM,132XX S BALTIMORE AVE,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,0433,004,10,55,03,1199097,1817873,2015,02/10/2018 03:50:01 PM,41.65505165,-87.547145112,"(41.65505165, -87.547145112)"
